Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-09-19,South Dakota,Sturgis,0,0,0,0,1,46000,886667.0,46093,29852.0
2024-09-19,South Dakota,Sturgis,0,0,0,0,1,46000,886667.0,46093,29852.0
2024-09-19,Texas,San Antonio,0,0,0,0,1,48000,29145505.0,48029,2009324.0
2024-09-19,Texas,Houston,0,0,0,0,1,48000,29145505.0,48201,4731145.0
2024-09-19,New York,Corona (Queens),0,0,0,0,2,36000,20201249.0,36081,2405464.0
2024-09-19,Georgia,Atlanta,0,0,0,0,0,13000,10711908.0,13121,1066710.0
2024-09-19,Louisiana,Monroe,0,0,0,0,1,22000,4657757.0,22073,160368.0
2024-09-18,Maryland,Waldorf,0,0,0,0,0,24000,6177224.0,24017,166617.0
2024-09-18,Ohio,Columbus,0,0,0,0,0,39000,11799448.0,39049,1323807.0
2024-09-18,Indiana,Fort Wayne,0,0,0,0,1,18000,6785528.0,18003,385410.0
2024-09-18,Texas,Bryan,0,0,0,0,1,48000,29145505.0,48041,233849.0
2024-09-18,New York,Staten Island,0,0,0,0,1,36000,20201249.0,36085,495747.0
2024-09-18,Louisiana,Denham Springs,0,0,0,0,1,22000,4657757.0,22063,142282.0
2024-09-17,Ohio,Dayton (Huber Heights),0,0,0,0,1,39000,11799448.0,39113,537309.0
2024-09-17,Kentucky,Smithland,0,0,0,0,0,21000,4505836.0,21139,8888.0
2024-09-17,Kentucky,Mount Sterling,0,0,0,0,1,21000,4505836.0,21173,28114.0
2024-09-17,Minnesota,Saint Paul,0,1,0,0,1,27000,5706494.0,27123,552352.0
2024-09-17,Texas,Arlington,0,0,0,0,0,48000,29145505.0,48439,2110640.0
2024-09-17,New Mexico,Albuquerque,0,0,0,0,1,35000,2117522.0,35001,676444.0
2024-09-17,Missouri,Saint Louis (Overland),0,0,0,0,1,29000,6154913.0,29189,1004125.0
2024-09-17,Florida,Plant City,0,0,0,0,1,12000,21538187.0,12057,1459762.0
2024-09-17,Texas,El Paso,0,0,0,0,2,48000,29145505.0,48141,865657.0
2024-09-17,Oregon,Central Point,0,0,0,0,1,41000,4237256.0,41029,223259.0
2024-09-16,Ohio,Columbus,0,1,0,0,1,39000,11799448.0,39049,1323807.0
2024-09-16,Michigan,Southfield,0,0,0,0,1,26000,10077331.0,26125,1274395.0
2024-09-16,Virginia,Orange,0,0,0,0,0,51000,8631393.0,51137,36254.0
2024-09-16,Georgia,Covington,0,0,0,0,1,13000,10711908.0,13217,112483.0
2024-09-16,Ohio,Cincinnati,0,0,0,0,1,39000,11799448.0,39061,830639.0
2024-09-15,New York,Buffalo,0,1,0,0,1,36000,20201249.0,36029,954236.0
2024-09-13,Tennessee,Chattanooga,0,0,0,0,0,47000,6910840.0,47065,366207.0
2024-09-13,Louisiana,New Orleans,0,0,0,0,0,22000,4657757.0,22071,383997.0
2024-09-13,California,Sacramento,0,0,0,0,1,06000,39538223.0,06067,1585055.0
2024-09-13,Georgia,Atlanta,0,0,0,0,0,13000,10711908.0,13121,1066710.0
2024-09-13,Florida,Orlando,0,0,0,0,2,12000,21538187.0,12095,1429908.0
2024-09-13,Ohio,Marion,0,0,0,0,1,39000,11799448.0,39101,65359.0
2024-09-13,Georgia,Duluth,0,0,0,0,1,13000,10711908.0,13135,957062.0
2024-09-13,Georgia,Newnan,0,0,0,0,1,13000,10711908.0,13077,146158.0
2024-09-13,Pennsylvania,Drexel Hill,0,0,0,0,1,42000,13002700.0,42045,576830.0
2024-09-12,New York,Rochester,0,0,0,0,1,36000,20201249.0,36055,759443.0
2024-09-12,South Carolina,Laurens,0,0,0,0,1,45000,5118425.0,45059,67539.0
2024-09-12,Georgia,Atlanta,0,0,0,0,0,13000,10711908.0,13121,1066710.0
2024-09-12,Florida,Tallahassee,0,0,0,0,1,12000,21538187.0,12073,292198.0
2024-09-12,Florida,Tampa,0,0,0,0,1,12000,21538187.0,12057,1459762.0
2024-09-12,Missouri,Springfield,0,1,0,0,0,29000,6154913.0,29077,298915.0
2024-09-12,Oklahoma,Okay,0,0,0,0,1,40000,3959353.0,40145,80981.0
2024-09-12,Illinois,Lombard,0,0,0,0,0,17000,12812508.0,17043,932877.0
2024-09-12,Texas,San Angelo,0,0,0,0,1,48000,29145505.0,48451,120003.0
2024-09-11,South Carolina,Marion,0,0,0,0,1,45000,5118425.0,45067,29183.0
